OE ZZZS,OBČINA_IME,ŠT.Prebivalcev,OE ZZZS izpostava,ZD,enota NMP,Površina v km2,
Ravne na Koroškem,Mislinja,4553,Slovenj Gradec,ZD Slovenj Gradec,Zdravstveno reševalni center Koroške,112.20,
Murska Sobota,Moravske Toplice,5981,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,144.50,
Ravne na Koroškem,Mozirje,4267,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,53.50,
Murska Sobota,Murska Sobota,18547,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,64.40,1,1.50,1.50,
Ravne na Koroškem,Muta,3407,Radlje ob Dravi,ZD Radlje ob Dravi,Zdravstveno reševalni center Koroške,38.80,
Ravne na Koroškem,Nazarje,2641,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,43.40,1,1,
Murska Sobota,Odranci,1613,Lendava,ZD Lendava,ZD Lendava,6.90,
Maribor,Oplotnica,4125,Slovenska Bistrica,ZD Slovenska Bistrica,ZD Slovenska Bistrica,33.20,
Maribor,Ormož,11913,Ormož,ZD Ormož,ZD Ormož,141.60,1.20,1,
Maribor,Pesnica,7508,Maribor,ZD Maribor,ZD Maribor,75.80,
Celje,Podčetrtek,3629,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,60.60,
Maribor,Podlehnik,1851,Ptuj,ZD Ptuj,ZD Ptuj,46,
Ravne na Koroškem,Podvelka,2342,Radlje ob Dravi,ZD Radlje ob Dravi,Zdravstveno reševalni center Koroške,103.90,
Maribor,Poljčane,4486,Slovenska Bistrica,ZD Slovenska Bistrica,ZD Slovenska Bistrica,37.50,
Celje,Polzela,6374,Žalec,ZD Žalec,ZD Žalec,34,
Celje,Prebold,5245,Žalec,ZD Žalec,ZD Žalec,40.60,
Ravne na Koroškem,Prevalje,6791,Ravne na Koroškem,ZD Ravne na Koroškem,Zdravstveno reševalni center Koroške,58.10,
Maribor,Ptuj,23531,Ptuj,ZD Ptuj,ZD Ptuj,66.70,1,1,1.30,
Murska Sobota,Puconci,5892,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,107.70,
Maribor,Rače - Fram,7711,Maribor,ZD Maribor,ZD Maribor,51.20,
Celje,Radeče,4147,Laško,ZD Radeče,ZD Radeče,52,1,
Murska Sobota,Radenci,5084,Gornja Radgona,ZD Gornja Radgona,ZD Gornja Radgona,34.10,
Ravne na Koroškem,Radlje ob Dravi,6168,Radlje ob Dravi,ZD Radlje ob Dravi,Zdravstveno reševalni center Koroške,93.90,1,1,
Ravne na Koroškem,Ravne na Koroškem,11276,Ravne na Koroškem,ZD Ravne na Koroškem,Zdravstveno reševalni center Koroške,63.40,1,1,
Murska Sobota,Razkrižje,1249,Ljutomer,ZD Ljutomer,ZD Ljutomer,9.80,
Ravne na Koroškem,Rečica ob Savinji,2347,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,30.10,
Ravne na Koroškem,Ribnica na Pohorju,1147,Radlje ob Dravi,ZD Radlje ob Dravi,Zdravstveno reševalni center Koroške,59.30,
Celje,Rogaška Slatina,11396,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,71.50,
Murska Sobota,Rogašovci,3123,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,40.10,
Celje,Rogatec,3084,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,39.60,
Maribor,Ruše,7063,Maribor,ZD Maribor,ZD Maribor,60.80,
Maribor,Selnica ob Dravi,4534,Maribor,ZD Maribor,ZD Maribor,64.50,
Krško,Sevnica,17651,Sevnica,ZD Sevnica,ZD Sevnica,272.20,
Ravne na Koroškem,Slovenj Gradec,16671,Slovenj Gradec,ZD Slovenj Gradec,Zdravstveno reševalni center Koroške,173.70,2,1,
Maribor,Slovenska Bistrica,25969,Slovenska Bistrica,ZD Slovenska Bistrica,ZD Slovenska Bistrica,260.10,1.50,0.10,1,
Celje,Slovenske Konjice,15241,Slovenske Konjice,ZD Slovenske Konjice,ZD Slovenske Konjice,97.80,1.30,1,
Ravne na Koroškem,Solčava,526,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,102.80,
Maribor,Središče ob Dravi,1924,Ormož,ZD Ormož,ZD Ormož,32.70,
Maribor,Starše,4056,Maribor,ZD Maribor,ZD Maribor,34,
Maribor,Sveta Ana,2336,Lenart,ZD Lenart,ZD Lenart,37.20,
Maribor,Sveta Trojica v Slov. goricah,2215,Lenart,ZD Lenart,ZD Lenart,25.90,
Maribor,Sveti Andraž v Slov. goricah,1193,Ptuj,ZD Ptuj,,17.60,
Murska Sobota,Sveti Jurij ob Ščavnici,2850,Gornja Radgona,ZD Gornja Radgona,ZD Gornja Radgona,51.30,
Maribor,Sveti Jurij v Slov. goricah,2105,Lenart,ZD Lenart,ZD Lenart,30.70,
Maribor,Sveti Tomaž,2032,Ormož,ZD Ormož,ZD Ormož,38.10,
Murska Sobota,Šalovci,1390,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,58.20,
Maribor,Šentilj,8352,Maribor,ZD Maribor,ZD Maribor,65,
Celje,Šentjur,19349,Šentjur pri Celju,ZD Šentjur,ZD Šentjur,222.30,1,
Celje,Šmarje pri Jelšah,10378,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,107.70,1.30,1,1,
Ravne na Koroškem,Šmartno ob Paki,3273,Velenje,ZD Velenje,ZD Velenje,18.20,
Ravne na Koroškem,Šoštanj,8782,Velenje,ZD Velenje,ZD Velenje,95.60,
Celje,Štore,4451,Celje,ZD Celje,ZD Celje,28.10,
Celje,Tabor,1674,Žalec,ZD Žalec,ZD Žalec,34.80,
Murska Sobota,Tišina,3949,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,38.80,
Ljubljana,Trbovlje,15917,Trbovlje,ZD Trbovlje,ZD Trbovlje,58,1.60,1,
Maribor,Trnovska vas,1375,Ptuj,ZD Ptuj,ZD Ptuj,22.90,
Murska Sobota,Turnišče,3178,Lendava,ZD Lendava,ZD Lendava,23.80,
Ravne na Koroškem,Velenje,33558,Velenje,ZD Velenje,ZD Velenje,83.50,1,1,1,
Murska Sobota,Velika Polana,1381,Lendava,ZD Lendava,ZD Lendava,18.70,
Murska Sobota,Veržej,1343,Ljutomer,ZD Ljutomer,ZD Ljutomer,12,
Maribor,Videm,5619,Ptuj,ZD Ptuj,ZD Ptuj,80,
Celje,Vitanje,2267,Slovenske Konjice,ZD Slovenske Konjice,ZD Slovenske Konjice,59.40,
Celje,Vojnik,9064,Celje,ZD Celje,ZD Celje,75.30,
Celje,Vransko,2675,Žalec,ZD Žalec,ZD Žalec,53.30,
Ravne na Koroškem,Vuzenica,2634,Radlje ob Dravi,ZD Radlje ob Dravi,Zdravstveno reševalni center Koroške,50.10,
Ljubljana,Zagorje ob Savi,16328,Zagorje,ZD Zagorje,ZD Zagorje,147.10,
Maribor,Zavrč,1507,Ptuj,ZD Ptuj,ZD Ptuj,19.30,
Celje,Zreče,6611,Slovenske Konjice,ZD Slovenske Konjice,ZD Slovenske Konjice,67,
Celje,Žalec,21492,Žalec,ZD Žalec,ZD Žalec,117.10,0.24,1,
Maribor,Žetale,1303,Ptuj,ZD Ptuj,ZD Ptuj,38,
